date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:01	369/369	---M--	200	added ('OK')	text/plain	date:Tue,%2016%20Apr%202024%2017:29:15%20GMT	https://www.mappa.co.jp/robots.txt		(from )
01:29:01	40579/40579	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Apr%202024%2004:41:55%20GMT	https://www.mappa.co.jp/company/	C:/Users/benzr/Desktop/mappa%202/www.mappa.co.jp/company/index.html	(from )
01:29:01	6781/6781	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Dec%202021%2005:40:06%20GMT	https://www.mappa.co.jp/apple-touch-icon.png	C:/Users/benzr/Desktop/mappa%202/www.mappa.co.jp/apple-touch-icon.png	(from https://www.mappa.co.jp/company/)
01:29:02	1328/1328	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2002:17:27%20GMT	https://www.mappa.co.jp/wp-content/themes/mappa/assets/css/style.css	C:/Users/benzr/Desktop/mappa%202/www.mappa.co.jp/wp-content/themes/mappa/assets/css/style.css	(from https://www.mappa.co.jp/company/)
01:29:02	13934/13934	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2002:17:27%20GMT	https://www.mappa.co.jp/wp-content/themes/mappa/assets/css/swiper-bundle.min.css	C:/Users/benzr/Desktop/mappa%202/www.mappa.co.jp/wp-content/themes/mappa/assets/css/swiper-bundle.min.css	(from https://www.mappa.co.jp/company/)
01:29:02	42839/42839	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed4-a757%22	https://cdnjs.cloudflare.com/ajax/libs/malihu-custom-scrollbar-plugin/3.1.5/jquery.mCustomScrollbar.min.css	C:/Users/benzr/Desktop/mappa%202/cdnjs.cloudflare.com/ajax/libs/malihu-custom-scrollbar-plugin/3.1.5/jquery.mCustomScrollbar.min.css	(from https://www.mappa.co.jp/company/)
01:29:03	144776/144776	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2008:17:05%20GMT	https://www.mappa.co.jp/wp-content/themes/mappa/assets/css/layout.css?1713242515	C:/Users/benzr/Desktop/mappa%202/www.mappa.co.jp/wp-content/themes/mappa/assets/css/layouta938.css	(from https://www.mappa.co.jp/company/)
01:29:03	9512/9512	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2002:17:27%20GMT	https://www.mappa.co.jp/wp-content/themes/mappa/assets/css/news.css?1713242515	C:/Users/benzr/Desktop/mappa%202/www.mappa.co.jp/wp-content/themes/mappa/assets/css/newsa938.css	(from https://www.mappa.co.jp/company/)
01:29:04	5555/5555	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-15b3%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	C:/Users/benzr/Desktop/mappa%202/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from https://www.mappa.co.jp/company/)
01:29:05	5554/5554	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Mar%202022%2002:17:30%20GMT	https://www.mappa.co.jp/wp-content/themes/mappa/assets/js/jquery.easing.min.js	C:/Users/benzr/Desktop/mappa%202/www.mappa.co.jp/wp-content/themes/mappa/assets/js/jquery.easing.min.js	(from https://www.mappa.co.jp/company/)
